medium,name,prints_available,artist_followers,num_views,material,subject,artist_name,date,num_favs,size,artist_country,price,artist_NoOfArts
Acrylic,Powerfull,Prints,4,13,Canvas,Abstract,Manuela Fernández,2016-01-01.000,0,59.1  H x  82.7  W x  0.8  in,Spain,$9850.00,(21)
"Watercolor, Acrylic",leaves in purple,Prints,0,43,Paper,Nature,jenniffer waters,2015-08-04.000,0,10  H x  15  W x  1  in,Canada,$205.00,(36)
"Gouache, Tempera",The mayan wheel,,0,106,Cardboard,Culture,Alin Eduard Botez,2014-02-01.000,0,26.7  H x  18.9  W x  0  in,Romania,$660.00,(13)
"Charcoal, Pastel, Paper",AIRE,,0,42,Paper,Geometric,Victoria Blak,2016-01-01.000,0,63  H x  52  W x  0.1  in,United States,$2440.00,(7)
Oil,Flowers in a vase,Prints,12,165,Canvas,Floral,Predrag Ilievski,2011-05-13.000,3,8.3  H x  5.9  W x  0.8  in,Macedonia,$165.00,(26)
Oil,Window,Prints,18,243,Canvas,Abstract,Erik Bornemann,2015-01-01.000,3,14  H x  11  W x  2  in,United States,$395.00,(3)
Oil,Moonrise 2,,0,3,Wood,Landscape,whitney cookman,2017-01-01.000,0,6  H x  8  W x  0.3  in,United States,$395.00,(14)
"Acrylic, Spray Paint",Metamorphosis,,153,184,Canvas,Abstract,Patrick Nikowitz,2016-01-01.000,6,35.4  H x  23.6  W x  0.8  in,Austria,$840.00,(62)
Acrylic,Chaparral (Roadrunner),,15,1222,Canvas,Animal,John Nieto,2015-01-05.000,1,20  H x  16  W x  5  in,United States,$8200.00,(32)
Acrylic,Gossip - Embellishing,,0,154,Canvas,Women,Madhusree Dutta,2014-03-03.000,0,15  H x  30  W x  1.6  in,,$790.00,(5)
"Glass, Mosaic, Paint",Kaleidoscope,,17,123,"Canvas, Glass, Other",Geometric,Hayat Gul,2015-11-04.000,0,36  H x  36  W x  1.5  in,United States,$1790.00,(33)
Watercolor,Savant 1 in the moonlight,Prints,24,25,Paper,Nude,Suthamma Thimkaeo,2017-01-01.000,0,11  H x  14.6  W x  0  in,Thailand,$165.00,(124)
"Enamel, Acrylic, Marker, Gesso",ANIMALS MADE BY HAND,,15,36,Canvas,Graffiti,morena beltrami,2017-01-01.000,0,23.6  H x  57.1  W x  0.4  in,Italy,$660.00,(8)
"Acrylic, Ink, Tempera",past things,Prints,29,30,Paper,Body,Susanne Hoch,2015-01-01.000,2,70  H x  50  W x  0.1  in,Germany,$780.00,(12)
Acrylic,Red Forest,,0,27,Paper,Abstract,Sarah Witte,2016-01-01.000,0,9  H x  12  W x  0.1  in,United States,$280.00,(15)
"Acrylic, Ink",Logic,,13,32,Canvas,Abstract,Dorian Schwartz,2015-06-10.000,0,16  H x  20  W x  1  in,Canada,$260.00,(14)
Oil,Nightfall on the lake,,0,16,Canvas,Landscape,Lera Lisyak,2012-01-01.000,1,15.7  H x  23.6  W x  1.2  in,Ukraine,$510.00,(4)
Oil,The Turning of the Year III,,64,43,Canvas,Landscape,John O'Grady,2016-01-01.000,3,20  H x  20  W x  1.8  in,France,$1197.00,(36)
Acrylic,American Dreaming,,8,170,Canvas,Political,Stanley Bermudez,2004-01-01.000,1,30  H x  24  W x  1.8  in,United States,$865.00,(37)
Acrylic,Extended awareness,,143,46,Canvas,Abstract,Dan Arcus,2016-01-01.000,1,31.5  H x  23.6  W x  0.7  in,Belgium,$700.00,(68)
Oil,Sailor,Prints,1,421,Canvas,Sailboat,Mohamed Fawaz,2015-03-02.000,0,39.4  H x  39.4  W x  0.8  in,Lebanon,$13500.00,(7)
"Acrylic, mix media, oil painting",Liberation,,1,44,Canvas,Portrait,Ria Sharma,2016-01-01.000,0,33  H x  25  W x  0.1  in,United Arab Emirates,$1640.00,(25)
Acrylic,"The Sanctuary, mixed media poppies on canvas",,5,91,Canvas,Floral,KELLIE DAY,2016-01-01.000,1,20  H x  40  W x  2  in,United States,$1690.00,(14)
